target_stock,week_t,predictor,beta
10104,2017-04-03,15315_RLag0,-0.0050364779901403405
10104,2017-04-03,56274_RLag0,-0.009100755008863594
10104,2017-04-03,77129_RLag0,-0.024482173987242065
10104,2017-04-03,81593_RLag0,-0.013910907675442502
10104,2017-04-03,90455_RLag0,-0.005790121319922234
10104,2017-04-03,19350_RLag1,0.01350685449847829
10104,2017-04-03,89244_RLag1,0.034504181054180495
10104,2017-04-03,46674_RLag2,-0.13017075434259465
10104,2017-04-03,76605_RLag2,-0.07145014908600836
10104,2017-04-03,89269_RLag2,5.739707594881108e-5
10104,2017-04-03,91849_RLag2,0.18568039554916882
10104,2017-04-17,81593_RLag0,-0.008073929459529847
10104,2017-04-17,89244_RLag1,0.02366694610229357
10104,2017-04-17,46674_RLag2,-0.17636453115829576
10104,2017-04-17,91849_RLag2,0.14966567128271901
10104,2017-05-01,27991_RLag0,-0.16242730561690244
10104,2017-05-01,32986_RLag0,-0.034111363185045124
10104,2017-05-01,46674_RLag2,-0.007240891553924114
10104,2018-01-15,17478_RLag0,0.06374892477622504
10104,2018-01-15,61241_RLag0,0.02150527617702635
10104,2018-01-15,14338_RLag2,-0.11710574767522926
10104,2018-01-15,64936_RLag2,-0.07689013227062047
10104,2018-01-15,Topic_49_TLag1,0.714627045974214
10104,2018-01-15,Topic_26_TLag2,-0.11118074409821672
10104,2018-01-15,Topic_60_TLag2,-2.746102372049847
10104,2018-10-08,42585_RLag0,0.035413404397818544
10104,2018-10-08,53065_RLag0,-0.010657780391684111
10104,2018-10-08,69796_RLag0,-0.011367124785429476
10104,2018-10-08,82621_RLag0,0.03892757036133915
10104,2018-10-08,90248_RLag0,-0.015272972716358529
10104,2018-10-08,11404_RLag1,0.06344471382757383
10104,2018-10-08,15486_RLag1,-0.009858870159571329
10104,2018-10-08,21792_RLag1,6.001228159690653e-4
10104,2018-10-08,24053_RLag1,0.3251962172047103
10104,2018-10-08,32870_RLag1,0.08047103123405797
10104,2018-10-08,60871_RLag1,-0.015085302238150184
10104,2018-10-08,82307_RLag1,-0.0703876913548163
10104,2018-10-08,87657_RLag1,-0.0033578166406560642
10104,2018-10-08,77661_RLag2,-0.002533031564846674
10104,2018-10-08,80320_RLag2,0.0251828066209116
10104,2018-10-08,85072_RLag2,-0.08894305932774035
10104,2018-10-08,87055_RLag2,0.03184881467685599
10104,2018-10-08,Topic_30_TLag0,-1.1644158244339449
10104,2018-10-08,Topic_74_TLag0,0.20425950966282605
10104,2018-10-08,Topic_86_TLag0,0.005095312449605139
10104,2018-10-08,Topic_30_TLag2,0.5904157503041364
10104,2018-10-08,Topic_54_TLag2,-0.4095812167009095
10104,2018-10-15,24053_RLag1,0.17676326310765966
10104,2018-10-22,24053_RLag1,0.19572342204435478
10104,2018-10-22,32870_RLag1,0.01168503956155135
10104,2018-10-22,Topic_30_TLag2,0.07548864199402208
10104,2018-10-29,42585_RLag0,0.010732708823031463
10104,2018-10-29,69796_RLag0,-0.07424440404607048
10104,2018-10-29,82621_RLag0,0.039267655439648524
10104,2018-10-29,15486_RLag1,-0.005237564652240264
10104,2018-10-29,24053_RLag1,0.30960483619629736
10104,2018-10-29,43123_RLag1,-0.0024814107942727655
10104,2018-10-29,60871_RLag1,-0.06724265683515494
10104,2018-10-29,82307_RLag1,-0.016865968853022696
10104,2018-10-29,87657_RLag1,-0.001851692985988064
10104,2018-10-29,19561_RLag2,-0.095743530843605
10104,2018-10-29,76712_RLag2,-0.02498786874764629
10104,2018-10-29,85072_RLag2,-0.030532531806827724
10104,2018-10-29,Topic_16_TLag0,-0.12142462009728805
10104,2018-10-29,Topic_17_TLag0,0.1261704098390847
10104,2018-10-29,Topic_30_TLag2,0.8646368800029314
10104,2018-11-05,24053_RLag1,0.10867250578846833
10104,2018-11-12,12591_RLag0,0.004186294639530255
10104,2018-11-12,15486_RLag1,-0.01462315293250342
10104,2018-11-12,82307_RLag1,-0.022321181474251477
10104,2018-11-12,12369_RLag2,-0.03158164896321483
10104,2018-11-12,19561_RLag2,-0.01831899577883929
10104,2018-11-12,43350_RLag2,-0.14786648226304452
10104,2018-11-12,76712_RLag2,-0.04550675576447773
10104,2018-11-12,85072_RLag2,-0.03037633056223484
10104,2018-11-12,89244_RLag2,0.002840853347475438
10104,2018-11-12,Topic_16_TLag0,-0.23561526392815663
10104,2018-12-10,15486_RLag1,-8.434920914844685e-4
10104,2018-12-10,24053_RLag1,0.03171555423688907
10104,2018-12-10,76605_RLag1,-0.05787988600902978
10104,2018-12-10,12369_RLag2,-0.07269679429389796
10104,2018-12-10,18542_RLag2,-0.12527735078857277
10104,2018-12-10,43350_RLag2,-0.0362653447956336
10104,2018-12-10,Topic_16_TLag0,-0.30709056917540895
10104,2018-12-10,Topic_74_TLag0,0.14800015076115117
10104,2018-12-31,18542_RLag2,-0.00465318418944326
10104,2018-12-31,37584_RLag2,-0.014993364282866427
10104,2018-12-31,43350_RLag2,-0.06188088554392921
10104,2019-06-17,11404_RLag0,-0.09921504751956285
10104,2019-06-17,13035_RLag1,0.04426943715873856
10104,2019-06-17,49154_RLag1,0.017415580129027285
10104,2019-06-17,65402_RLag1,0.0019538883698969898
10104,2019-06-17,79323_RLag1,0.06676845104966213
10104,2019-06-17,79686_RLag1,0.025895013465042284
10104,2019-06-17,Topic_43_TLag2,-1.8018009568843565
10104,2019-07-22,24766_RLag0,-0.09432944542689613
10104,2019-07-22,45356_RLag0,0.040610845920883654
10104,2019-07-22,83011_RLag0,0.060228018156016964
10104,2019-07-22,90386_RLag0,0.05793415515653042
10104,2019-07-22,13035_RLag1,0.0710197641973054
10104,2019-07-22,19350_RLag1,0.06731413521452163
10104,2019-07-22,49154_RLag1,0.03781878343323104
10104,2019-07-22,60506_RLag1,1.2273434840731018e-4
10104,2019-07-22,66181_RLag1,7.030407953183596e-5
10104,2019-07-22,75591_RLag1,0.21199021349652303
10104,2019-07-22,79686_RLag1,0.08749399034750822
10104,2019-07-22,Topic_40_TLag2,-2.391018781836231
10104,2019-08-19,83011_RLag0,0.13638348820318646
10104,2019-08-19,15850_RLag1,-0.03761439354856957
10104,2019-08-19,38156_RLag1,0.01292619424439969
10104,2019-08-19,75591_RLag1,0.07913985551983427
10104,2019-08-19,79686_RLag1,0.03431336114839368
10104,2019-08-19,14882_RLag2,0.015228903375622316
10104,2019-09-23,50286_RLag0,-0.011363474844357681
10104,2019-09-23,79686_RLag0,0.009733690426460216
10104,2019-09-23,82486_RLag0,0.0018505321880086187
10104,2019-09-23,83011_RLag0,0.12051258996175787
10104,2019-09-23,15850_RLag1,-0.028741929465561346
10104,2019-09-23,19350_RLag1,0.06448789102408918
10104,2019-09-23,22517_RLag1,0.07431459471185115
10104,2019-09-23,38156_RLag1,0.089975731431287
10104,2019-09-23,14882_RLag2,0.048786520320928096
10104,2019-09-23,Topic_40_TLag2,-2.034225563760618
10107,2018-03-12,21178_RLag2,0.043395119232185725
10107,2018-04-23,21178_RLag2,0.1822757627176173
10107,2018-04-23,Topic_59_TLag1,-1.187853119943115
10107,2018-04-30,85058_RLag0,-0.10340451629246397
10107,2018-04-30,85592_RLag0,-0.067467371814221
10107,2018-04-30,15202_RLag1,-0.009033315545774488
10107,2018-04-30,15486_RLag1,-0.01499036783065024
10107,2018-04-30,49154_RLag1,0.014348434550258636
10107,2018-04-30,81736_RLag1,-0.09239177681286095
10107,2018-04-30,89533_RLag1,-0.02558284711308179
10107,2018-04-30,12369_RLag2,0.024568546283136504
10107,2018-04-30,21178_RLag2,0.2369770799248955
10107,2018-04-30,49154_RLag2,-0.00826037607867815
10107,2018-04-30,Topic_36_TLag0,-1.7032575930095168
10107,2018-04-30,Topic_54_TLag0,1.855331534291895
10107,2018-04-30,Topic_59_TLag1,-2.052416856632793
10107,2018-05-07,85058_RLag0,-0.12974418950737368
10107,2018-05-07,85592_RLag0,-0.02729733772388493
10107,2018-05-07,15486_RLag1,-0.018296289577375054
10107,2018-05-07,49154_RLag1,0.008772727670353135
10107,2018-05-07,52476_RLag1,-0.003780957070980885
10107,2018-05-07,81736_RLag1,-0.09129334210099321
10107,2018-05-07,89533_RLag1,-0.019761706398631406
10107,2018-05-07,21178_RLag2,0.13604804586446062
10107,2018-05-07,Topic_36_TLag0,-1.5233574470594122
10107,2018-05-07,Topic_54_TLag0,1.6488239222529155
10107,2018-05-07,Topic_59_TLag1,-2.252520727850944
10107,2018-10-08,13688_RLag1,0.006851583043051483
10107,2018-10-08,Topic_16_TLag1,-0.14419213740274134
10107,2018-10-15,82621_RLag0,0.029536168624704397
10107,2018-10-15,32870_RLag1,0.03128384352917292
10107,2018-10-15,Topic_16_TLag1,-0.0850068477162674
10107,2018-11-05,82621_RLag0,0.01850531849968323
10107,2018-11-05,13323_RLag2,0.008399039233644164
10107,2018-11-05,Topic_82_TLag1,0.15926471136113166
10107,2019-09-30,14036_RLag0,-0.14610406947446905
10107,2019-09-30,24766_RLag0,-0.014481019193697415
10107,2019-09-30,25582_RLag0,-0.011574693608494486
10107,2019-09-30,75819_RLag0,-0.0021595285134742904
10107,2020-01-13,17743_RLag0,-0.09970267638032071
10107,2020-01-13,25582_RLag0,-0.021713877772242523
10107,2020-01-13,36468_RLag0,-0.0605562314223185
10107,2020-01-13,77129_RLag0,-0.026954555300785228
10107,2020-01-13,89781_RLag2,0.059192173081919576
10138,2016-08-22,38156_RLag2,-0.03393280875232841
10138,2016-09-26,48653_RLag0,-0.11520935566114685
10138,2016-09-26,75912_RLag0,-0.051519866726755834
10138,2016-09-26,80381_RLag1,3.8541279975794126e-4
10138,2016-09-26,38156_RLag2,-0.05071644827792212
10138,2016-09-26,93246_RLag2,-0.032272939902401036
10138,2016-09-26,Topic_14_TLag2,0.2406173881122249
10138,2016-09-26,Topic_53_TLag2,0.9115424226109329
10138,2016-09-26,Topic_86_TLag2,0.23795430083733746
10138,2016-10-10,48653_RLag0,-0.08315891802182156
10138,2016-10-10,10516_RLag2,-0.006270087192005779
10138,2016-10-10,38156_RLag2,-0.04714461463037134
10138,2018-01-08,13911_RLag1,-0.006376162547041034
10138,2018-01-08,92322_RLag1,0.05843853532873597
10138,2018-01-08,Topic_58_TLag1,1.5459258715204662
10138,2018-01-08,Topic_65_TLag1,0.3948418487421018
10138,2018-03-26,17743_RLag0,-0.02792914891509177
10138,2018-03-26,24205_RLag0,-0.15378415484905048
10138,2018-03-26,67598_RLag0,-0.02690334853410718
10138,2018-03-26,13911_RLag1,-0.08884619907663575
10138,2018-03-26,89138_RLag1,-0.07078479772331946
10138,2018-03-26,75825_RLag2,0.019309275691011756
10138,2018-03-26,Topic_59_TLag1,-3.0885141977540007
10138,2019-03-04,89626_RLag0,-0.17446400334139026
10138,2019-03-18,89626_RLag0,-0.04593927436718108
10138,2019-08-19,79637_RLag0,-0.13670019350783627
10138,2019-08-19,76605_RLag1,0.12233084623845805
10138,2019-08-19,18411_RLag2,0.023670842753041533
10138,2019-08-19,21207_RLag2,0.043909266471300626
10138,2019-08-19,24985_RLag2,0.10979653359726031
10138,2019-08-19,92614_RLag2,0.0970824206220501
10138,2019-09-30,14036_RLag0,-0.15329992181893315
10138,2019-09-30,93096_RLag0,0.04617847099175721
10138,2019-09-30,Topic_10_TLag0,-0.042912566376510905
10138,2019-09-30,Topic_40_TLag2,-0.4671075068162082
10145,2017-11-27,53065_RLag1,0.018958163896986506
10145,2017-11-27,65875_RLag1,-0.026395553303309616
10145,2017-11-27,Topic_65_TLag2,0.4675571063225297
10145,2018-07-23,23026_RLag0,-0.16023465242823393
10145,2018-07-23,89617_RLag0,-0.04029606247632773
10145,2018-07-23,57904_RLag1,-0.23418699006120264
10145,2018-07-23,13641_RLag2,0.04366067481235692
10145,2018-07-23,89155_RLag2,0.0830929361945471
10145,2018-07-23,Topic_26_TLag0,-0.40942936063790997
10145,2018-07-23,Topic_29_TLag1,-0.054727895195888866
10145,2018-08-27,15720_RLag0,-0.052401615499458196
10145,2018-08-27,27991_RLag0,-0.028160195426574497
10145,2018-08-27,86136_RLag0,-0.10888058128571396
10145,2018-08-27,89031_RLag0,2.178469244292307e-4
10145,2018-08-27,89617_RLag0,-0.10536485352471518
10145,2018-08-27,57809_RLag1,-0.13023682728082348
10145,2018-08-27,62148_RLag1,-0.011462728699248342
10145,2018-08-27,90993_RLag1,-0.00637855914382055
10145,2018-08-27,11674_RLag2,0.022637618753262447
10145,2018-08-27,13641_RLag2,0.02373860078212836
10145,2018-08-27,22517_RLag2,0.09112791249296645
10145,2018-08-27,86339_RLag2,0.11979275992087199
10145,2018-08-27,89155_RLag2,0.044718913890054994
10145,2018-08-27,Topic_26_TLag0,-0.43015888389224993
10145,2018-08-27,Topic_41_TLag0,-1.8254122042288945
10145,2018-08-27,Topic_18_TLag2,0.09188044923113645
10145,2018-08-27,Topic_40_TLag2,0.26883652642537476
10145,2018-09-03,15720_RLag0,-5.97262752293862e-4
10145,2018-09-03,86136_RLag0,-0.04009567294034393
10145,2018-09-03,22517_RLag2,0.10209189918059812
10145,2018-09-03,86339_RLag2,0.12114616089175351
10145,2018-09-03,Topic_26_TLag0,-0.06326688997487942
10145,2018-09-03,Topic_41_TLag0,-0.3593084300148598
10145,2018-10-08,22517_RLag0,-0.034565001195135676
10145,2018-10-08,48506_RLag0,0.05662518307027807
10145,2018-10-08,59248_RLag0,-0.05338237899658948
10145,2018-10-08,69796_RLag0,-0.030820025162087157
10145,2018-10-08,13511_RLag1,0.09811342128789693
10145,2018-10-08,52708_RLag1,0.02099896722304816
10145,2018-10-08,75819_RLag1,0.03232880090622292
10145,2018-10-08,12369_RLag2,-0.03681769663860204
10145,2018-10-08,44206_RLag2,0.011759039881638613
10145,2018-10-08,Topic_26_TLag0,-0.13378705075788536
10145,2018-10-08,Topic_29_TLag0,0.2044233319628645
10145,2018-10-08,Topic_37_TLag0,-3.477966106109885
10145,2018-10-08,Topic_44_TLag1,-0.02738908224382905
10145,2018-10-08,Topic_46_TLag1,-1.7119105299029294
10145,2018-10-08,Topic_23_TLag2,-0.04741077105978095
10145,2019-01-14,24010_RLag0,-0.039064015230448494
10145,2019-01-14,52708_RLag0,0.13955721352129327
10145,2019-01-14,64936_RLag0,-0.02952353627532319
10145,2019-01-14,85072_RLag0,0.04590964135586833
10145,2019-01-14,85913_RLag0,0.09491918020156201
10145,2019-01-14,86111_RLag0,-0.042805429019205685
10145,2019-01-14,52329_RLag1,0.07896386665903601
10145,2019-01-14,79094_RLag1,0.011027474825610352
10145,2019-01-14,26825_RLag2,5.971383143330715e-4
10145,2019-01-14,41080_RLag2,-0.09415371329686496
10145,2019-01-14,Topic_21_TLag2,-4.140912418513004
10145,2019-01-28,52708_RLag0,0.05960218863863097
10145,2019-01-28,85072_RLag0,0.010662045769775162
10145,2019-01-28,85913_RLag0,0.10662808076831427
10145,2019-01-28,52329_RLag1,0.01240824757935006
10145,2019-02-04,52708_RLag0,0.0896279338433903
10145,2019-02-04,85072_RLag0,0.07920755155343913
10145,2019-02-04,85913_RLag0,0.08522041406844565
10145,2019-02-04,92614_RLag0,-0.0031453486382153413
10145,2019-02-04,52329_RLag1,0.06534851356802304
10145,2019-02-04,79094_RLag1,0.0315293227619623
10145,2019-03-11,85913_RLag0,0.0642920894089278
10145,2019-03-11,89731_RLag0,0.029027470817975184
10145,2019-08-26,15850_RLag1,-0.0037336958807364547
10145,2019-08-26,82598_RLag2,1.7288171593513455e-4
10145,2019-08-26,Topic_75_TLag2,0.19530459148874751
